date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,6.2,6.41,6.14,6.41,6.41,1481805,1481805,0.21,3.387,6.32,"December 23, 22",0.03387
2022-12-22,6.32,6.37,5.96,6.15,6.15,1308165,1308165,-0.17,-2.69,6.16,"December 22, 22",-0.0269
2022-12-21,6.1,6.37,6.1,6.37,6.37,1140471,1140471,0.27,4.426,6.28,"December 21, 22",0.04426
2022-12-20,5.7,6.06,5.68,6.04,6.04,839613,839613,0.34,5.965,5.92667,"December 20, 22",0.05965
2022-12-19,5.92,5.92,5.64,5.68,5.68,726334,726334,-0.24,-4.054,5.74667,"December 19, 22",-0.04054
2022-12-16,5.75,5.895,5.7,5.86,5.86,705728,705728,0.11,1.913,5.81833,"December 16, 22",0.01913
2022-12-15,5.88,5.88,5.75,5.78,5.78,617249,617249,-0.1,-1.701,5.80333,"December 15, 22",-0.01701
2022-12-14,6,6.05,5.88,5.94,5.94,1042601,1042601,-0.06,-1,5.95667,"December 14, 22",-0.01
2022-12-13,6.34,6.46,5.98,6.02,6.02,1760349,1760349,-0.32,-5.047,6.15333,"December 13, 22",-0.05047
2022-12-12,6.13,6.18,5.9775,6.16,6.16,1286674,1286674,0.03,0.489,6.10583,"December 12, 22",0.00489
2022-12-09,6.33,6.35,6.11,6.13,6.13,986756,986756,-0.2,-3.16,6.19667,"December 09, 22",-0.0316
2022-12-08,6.4,6.505,6.29,6.33,6.33,993930,993930,-0.07,-1.094,6.375,"December 08, 22",-0.01094
2022-12-07,6.32,6.45,6.28,6.34,6.34,1036407,1036407,0.02,0.316,6.35667,"December 07, 22",0.00316
2022-12-06,6.66,6.66,6.305,6.35,6.35,763997,763997,-0.31,-4.655,6.43833,"December 06, 22",-0.04655
2022-12-05,6.81,6.88,6.525,6.55,6.55,814241,814241,-0.26,-3.818,6.65167,"December 05, 22",-0.03818
2022-12-02,6.53,6.865,6.53,6.84,6.84,1010825,1010825,0.31,4.747,6.745,"December 02, 22",0.04747
2022-12-01,6.65,6.71,6.52,6.61,6.61,783247,783247,-0.04,-0.602,6.61333,"December 01, 22",-0.00602
2022-11-30,6.5,6.63,6.445,6.62,6.62,1155469,1155469,0.12,1.846,6.565,"November 30, 22",0.01846
2022-11-29,6.4699998,6.5999999,6.4250002,6.46,6.46,1240700,1240700,-0.01,-0.155,6.495,"November 29, 22",-0.00155
2022-11-28,6.6700001,6.6700001,6.3200002,6.4200001,6.3699999,1522000,1522000,-0.3,-4.498,6.45333,"November 28, 22",-0.04498
2022-11-25,6.6500001,6.7399998,6.6500001,6.6700001,6.618053,278100,278100,-0.03195,-0.48,6.66935,"November 25, 22",-0.0048
2022-11-23,6.6500001,6.6799998,6.52,6.6799998,6.627975,580700,580700,-0.02203,-0.331,6.60932,"November 23, 22",-0.00331
2022-11-22,6.5799999,6.915,6.5799999,6.6799998,6.627975,1540000,1540000,0.04798,0.729,6.70766,"November 22, 22",0.00729
2022-11-21,6.4749999,6.5700002,6.3899999,6.5100002,6.4592991,986300,986300,-0.0157,-0.242,6.4731,"November 21, 22",-0.00242
2022-11-18,6.5,6.5599999,6.3899999,6.5100002,6.4592991,667900,667900,-0.0407,-0.626,6.46977,"November 18, 22",-0.00626
2022-11-17,6.4299998,6.4749999,6.3499999,6.4499998,6.399766,802000,802000,-0.03023,-0.47,6.40826,"November 17, 22",-0.0047
2022-11-16,6.6999998,6.6999998,6.5,6.5300002,6.4791436,1006200,1006200,-0.22086,-3.296,6.55971,"November 16, 22",-0.03296
2022-11-15,6.6100001,6.98,6.5999999,6.73,6.6775856,1183100,1183100,0.06759,1.023,6.75253,"November 15, 22",0.01023
2022-11-14,6.8099999,6.8200002,6.5700002,6.5900002,6.5386763,736100,736100,-0.27132,-3.984,6.64289,"November 14, 22",-0.03984
2022-11-11,6.73,7,6.6900001,6.8000002,6.7470407,1492300,1492300,0.01704,0.253,6.81235,"November 11, 22",0.00253
2022-11-10,6.6999998,6.8099999,6.5,6.6300001,6.5783644,1231100,1231100,-0.12164,-1.816,6.62945,"November 10, 22",-0.01816
2022-11-09,6.8099999,6.8099999,6.4250002,6.46,6.4096885,1597500,1597500,-0.40031,-5.878,6.54823,"November 09, 22",-0.05878
2022-11-08,6.8299999,7.0300002,6.3400002,6.8800001,6.8264174,2598100,2598100,-0.00358,-0.052,6.73214,"November 08, 22",-0.00052
2022-11-07,7.3699999,7.5799999,7.2399998,7.2399998,7.1836133,941500,941500,-0.18639,-2.529,7.33454,"November 07, 22",-0.02529
2022-11-04,7.02,7.3499999,6.9000001,7.3499999,7.2927566,1501600,1501600,0.27276,3.885,7.18092,"November 04, 22",0.03885
