date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,87.85,88.65,85.5201,85.65,85.65,15103824,15103824,-2.2,-2.504,86.6067,"December 23, 22",-0.02504
2022-12-22,89.08,89.69,86.67,87.97,87.97,15734063,15734063,-1.11,-1.246,88.11,"December 22, 22",-0.01246
2022-12-21,86.01,88.3869,85.46,87.81,87.81,17861050,17861050,1.8,2.093,87.21897,"December 21, 22",0.02093
2022-12-20,85.04,87.2,85.04,85.92,85.92,14713768,14713768,0.88,1.035,86.05333,"December 20, 22",0.01035
2022-12-19,89.75,89.78,86.5005,87.16,87.16,20688763,20688763,-2.59,-2.886,87.8135,"December 19, 22",-0.02886
2022-12-16,88.8,90.57,86.61,86.79,86.79,25035799,25035799,-2.01,-2.264,87.99,"December 16, 22",-0.02264
2022-12-15,93.09,94.08,86.05,86.21,86.21,30338527,30338527,-6.88,-7.391,88.78,"December 15, 22",-0.07391
2022-12-14,91.06,91.265,89.5,90.91,90.91,15219576,15219576,-0.15,-0.165,90.55833,"December 14, 22",-0.00165
2022-12-13,93.45,94.98,90.3,91.41,91.41,18487383,18487383,-2.04,-2.183,92.23,"December 13, 22",-0.02183
2022-12-12,90.09,90.889,87.75,89.41,89.41,15168742,15168742,-0.68,-0.755,89.34967,"December 12, 22",-0.00755
2022-12-09,93.27,93.73,91.225,91.34,91.34,15452711,15452711,-1.93,-2.069,92.09833,"December 09, 22",-0.02069
2022-12-08,91.97,94.335,91.08,94.17,94.17,29242090,29242090,2.2,2.392,93.195,"December 08, 22",0.02392
2022-12-07,87.06,89.2595,86.62,88.33,88.33,18425835,18425835,1.27,1.459,88.06983,"December 07, 22",0.01459
2022-12-06,91.88,92.57,89.2,91.45,91.45,26468994,26468994,-0.43,-0.468,91.07333,"December 06, 22",-0.00468
2022-12-05,92.9,92.9,89.63,90.52,90.52,30725858,30725858,-2.38,-2.562,91.01667,"December 05, 22",-0.02562
2022-12-02,86.05,91.85,86.05,90.06,90.06,35045274,35045274,4.01,4.66,89.32,"December 02, 22",0.0466
2022-12-01,84.35,87.6,84.26,85.94,85.94,19575659,19575659,1.59,1.885,85.93333,"December 01, 22",0.01885
2022-11-30,82.74,89.625,82.25,87.56,87.56,59535021,59535021,4.82,5.825,86.47833,"November 30, 22",0.05825
2022-11-29,80.24,80.89,79.45,79.86,79.86,24040244,24040244,-0.38,-0.474,80.06667,"November 29, 22",-0.00474
2022-11-28,74.74,77.417,74.68,75.88,75.88,19108711,19108711,1.14,1.525,75.99233,"November 28, 22",0.01525
2022-11-25,75.5,76.05,74.92,75.5,75.5,12938945,12938945,0,0,75.49,"November 25, 22",0
2022-11-23,78.19,78.845,76.85,78.5,78.5,19011234,19011234,0.31,0.396,78.065,"November 23, 22",0.00396
2022-11-22,75.44,76.8,74.58,75.99,75.99,20695777,20695777,0.55,0.729,75.79,"November 22, 22",0.00729
2022-11-21,78.69,79.06,76.47,76.93,76.93,18980263,18980263,-1.76,-2.237,77.48667,"November 21, 22",-0.02237
2022-11-18,82.15,82.52,79.86,80.48,80.48,29313475,29313475,-1.67,-2.033,80.95333,"November 18, 22",-0.02033
2022-11-17,76,85.68,75.76,84.26,84.26,61669357,61669357,8.26,10.868,81.9,"November 17, 22",0.10868
2022-11-16,80.32,80.45,77.41,78.16,78.16,25966144,25966144,-2.16,-2.689,78.67333,"November 16, 22",-0.02689
2022-11-15,78.93,80.37,77.81,79.3,79.3,52993656,52993656,0.37,0.469,79.16,"November 15, 22",0.00469
2022-11-14,73.16,74,71.325,71.33,71.33,30312367,30312367,-1.83,-2.501,72.21833,"November 14, 22",-0.02501
2022-11-11,72.32,72.7,69.31,70.77,70.77,38684490,38684490,-1.55,-2.143,70.92667,"November 11, 22",-0.02143
2022-11-10,68.03,69.99,68,69.77,69.77,28465941,28465941,1.74,2.558,69.25333,"November 10, 22",0.02558
2022-11-09,66.43,66.78,64.8,64.84,64.84,21925643,21925643,-1.59,-2.393,65.47333,"November 09, 22",-0.02393
