date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,5.09,5.118,5.044,5.101,5.101,13198929,13198929,0.011,0.216,5.08767,"December 23, 22",0.00216
2022-12-22,5.146,5.172,5.073,5.074,5.074,17949056,17949056,-0.072,-1.399,5.10633,"December 22, 22",-0.01399
2022-12-21,5.07,5.134,5.063,5.13,5.13,17885633,17885633,0.06,1.183,5.109,"December 21, 22",0.01183
2022-12-20,4.97,5.068,4.92,5.047,5.047,24084655,24084655,0.077,1.549,5.01167,"December 20, 22",0.01549
2022-12-19,5.064,5.084,5.015,5.046,5.046,16788452,16788452,-0.018,-0.355,5.04833,"December 19, 22",-0.00355
2022-12-16,5.02,5.1,4.989,5.05,5.05,51035738,51035738,0.03,0.598,5.04633,"December 16, 22",0.00598
2022-12-15,5.25,5.289,5.055,5.055,5.055,40021765,40021765,-0.195,-3.714,5.133,"December 15, 22",-0.03714
2022-12-14,5.242,5.311,5.234,5.252,5.252,28062624,28062624,0.01,0.191,5.26567,"December 14, 22",0.00191
2022-12-13,5.193,5.329,5.102,5.248,5.248,35908355,35908355,0.055,1.059,5.22633,"December 13, 22",0.01059
2022-12-12,5.216,5.237,5.186,5.198,5.198,18432841,18432841,-0.018,-0.345,5.207,"December 12, 22",-0.00345
2022-12-09,5.221,5.24,5.151,5.222,5.222,21178346,21178346,0.001,0.019,5.20433,"December 09, 22",0.00019
2022-12-08,5.234,5.234,5.151,5.174,5.174,20506120,20506120,-0.06,-1.146,5.18633,"December 08, 22",-0.01146
2022-12-07,5.214,5.287,5.213,5.224,5.224,18614179,18614179,0.01,0.192,5.24133,"December 07, 22",0.00192
2022-12-06,5.291,5.348,5.206,5.206,5.206,32249462,32249462,-0.085,-1.607,5.25333,"December 06, 22",-0.01607
2022-12-05,5.273,5.304,5.262,5.278,5.278,15372123,15372123,0.005,0.095,5.28133,"December 05, 22",0.00095
2022-12-02,5.248,5.308,5.217,5.267,5.267,25359289,25359289,0.019,0.362,5.264,"December 02, 22",0.00362
2022-12-01,5.17,5.276,5.16,5.25,5.25,31897962,31897962,0.08,1.547,5.22867,"December 01, 22",0.01547
2022-11-30,5.125,5.145,5.083,5.134,5.134,47891648,47891648,0.009,0.176,5.12067,"November 30, 22",0.00176
2022-11-29,5.095,5.115,5.055,5.106,5.106,19282299,19282299,0.011,0.216,5.092,"November 29, 22",0.00216
2022-11-28,5.121,5.131,5.056,5.07,5.07,26193539,26193539,-0.051,-0.996,5.08567,"November 28, 22",-0.00996
2022-11-25,5.141,5.175,5.112,5.155,5.155,20432149,20432149,0.014,0.272,5.14733,"November 25, 22",0.00272
2022-11-24,5.09,5.179,5.086,5.153,5.153,21159246,21159246,0.063,1.238,5.13933,"November 24, 22",0.01238
2022-11-23,5.052,5.068,4.882,5.063,5.063,38721695,38721695,0.011,0.218,5.00433,"November 23, 22",0.00218
2022-11-22,5.052,5.059,4.882,5.041,5.041,24048890,24048890,-0.011,-0.218,4.994,"November 22, 22",-0.00218
