date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,5.09,5.13,5.04,5.09,5.09,863444,863444,0,0,5.08667,"December 23, 22",0
2022-12-22,4.93,5.15,4.9101,5.1,5.1,1544540,1544540,0.17,3.448,5.05337,"December 22, 22",0.03448
2022-12-21,4.81,4.915,4.755,4.9,4.9,625010,625010,0.09,1.871,4.85667,"December 21, 22",0.01871
2022-12-20,4.65,4.83,4.642,4.8,4.8,821731,821731,0.15,3.226,4.75733,"December 20, 22",0.03226
2022-12-19,4.75,4.78,4.61,4.76,4.76,454393,454393,0.01,0.211,4.71667,"December 19, 22",0.00211
2022-12-16,4.85,4.89,4.71,4.76,4.76,1069565,1069565,-0.09,-1.856,4.78667,"December 16, 22",-0.01856
2022-12-15,4.76,4.89,4.7,4.85,4.85,1008365,1008365,0.09,1.891,4.81333,"December 15, 22",0.01891
2022-12-14,4.81,4.88,4.74,4.78,4.78,653857,653857,-0.03,-0.624,4.8,"December 14, 22",-0.00624
2022-12-13,4.95,4.95,4.77,4.81,4.81,666211,666211,-0.14,-2.828,4.84333,"December 13, 22",-0.02828
2022-12-12,4.95,4.95,4.78,4.87,4.87,837856,837856,-0.08,-1.616,4.86667,"December 12, 22",-0.01616
2022-12-09,4.87,4.98,4.77,4.96,4.96,1380344,1380344,0.09,1.848,4.90333,"December 09, 22",0.01848
2022-12-08,4.89,4.9,4.8,4.87,4.87,1809086,1809086,-0.02,-0.409,4.85667,"December 08, 22",-0.00409
2022-12-07,4.79,4.8975,4.71,4.88,4.88,1106240,1106240,0.09,1.879,4.82917,"December 07, 22",0.01879
2022-12-06,4.82,4.85,4.78,4.85,4.85,1200342,1200342,0.03,0.622,4.82667,"December 06, 22",0.00622
2022-12-05,4.9,4.9,4.75,4.79,4.79,2164369,2164369,-0.11,-2.245,4.81333,"December 05, 22",-0.02245
2022-12-02,4.63,4.9,4.56,4.85,4.85,1595525,1595525,0.22,4.752,4.77,"December 02, 22",0.04752
2022-12-01,4.67,4.77,4.6,4.7,4.7,830873,830873,0.03,0.642,4.69,"December 01, 22",0.00642
2022-11-30,4.54,4.7,4.42,4.67,4.67,1451064,1451064,0.13,2.863,4.59667,"November 30, 22",0.02863
2022-11-29,4.4,4.6,4.32,4.52,4.52,1696228,1696228,0.12,2.727,4.48,"November 29, 22",0.02727
2022-11-28,4.3,4.33,4.23,4.29,4.29,848420,848420,-0.01,-0.233,4.28333,"November 28, 22",-0.00233
2022-11-25,4.45,4.51,4.33,4.34,4.34,380369,380369,-0.11,-2.472,4.39333,"November 25, 22",-0.02472
2022-11-23,4.45,4.5499,4.37,4.45,4.45,838794,838794,0,0,4.45663,"November 23, 22",0
2022-11-22,4.41,4.53,4.36,4.42,4.42,841292,841292,0.01,0.227,4.43667,"November 22, 22",0.00227
2022-11-21,4.58,4.58,4.41,4.48,4.48,654023,654023,-0.1,-2.183,4.49,"November 21, 22",-0.02183
2022-11-18,4.8,4.8,4.3416,4.66,4.66,1124747,1124747,-0.14,-2.917,4.60053,"November 18, 22",-0.02917
2022-11-17,4.9,4.9,4.6,4.83,4.83,1243391,1243391,-0.07,-1.429,4.77667,"November 17, 22",-0.01429
2022-11-16,5.17,5.1951,4.795,5.09,5.09,727264,727264,-0.08,-1.547,5.0267,"November 16, 22",-0.01547
2022-11-15,5.1,5.39,4.83,5.24,5.24,1195321,1195321,0.14,2.745,5.15333,"November 15, 22",0.02745
2022-11-14,4.96,5.11,4.85,4.94,4.94,1632374,1632374,-0.02,-0.403,4.96667,"November 14, 22",-0.00403
