date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,5.69,5.72,5.435,5.48,5.48,558814,558814,-0.21,-3.691,5.545,"December 23, 22",-0.03691
2022-12-22,5.93,5.96,5.53,5.73,5.73,648913,648913,-0.2,-3.373,5.74,"December 22, 22",-0.03373
2022-12-21,6.05,6.15,5.9,6.01,6.01,622691,622691,-0.04,-0.661,6.02,"December 21, 22",-0.00661
2022-12-20,5.72,6.05,5.72,5.99,5.99,645683,645683,0.27,4.72,5.92,"December 20, 22",0.0472
2022-12-19,6.2,6.2,5.71,5.83,5.83,751587,751587,-0.37,-5.968,5.91333,"December 19, 22",-0.05968
2022-12-16,6.2,6.25,5.92,6.13,6.13,3360142,3360142,-0.07,-1.129,6.1,"December 16, 22",-0.01129
2022-12-15,6.28,6.39,6.12,6.22,6.22,847746,847746,-0.06,-0.955,6.24333,"December 15, 22",-0.00955
2022-12-14,6.04,6.42,5.91,6.39,6.39,1172464,1172464,0.35,5.795,6.24,"December 14, 22",0.05795
2022-12-13,6.15,6.18,5.81,6.09,6.09,1290299,1290299,-0.06,-0.976,6.02667,"December 13, 22",-0.00976
2022-12-12,5.91,6.08,5.682,5.98,5.98,1341767,1341767,0.07,1.184,5.914,"December 12, 22",0.01184
2022-12-09,6.54,6.54,5.86,5.88,5.88,1340439,1340439,-0.66,-10.092,6.09333,"December 09, 22",-0.10092
2022-12-08,6.46,6.63,5.9901,6.57,6.57,1006275,1006275,0.11,1.703,6.3967,"December 08, 22",0.01703
2022-12-07,6.29,6.515,6.16,6.38,6.38,1008015,1008015,0.09,1.431,6.35167,"December 07, 22",0.01431
2022-12-06,6.21,6.43,6.1,6.34,6.34,1052134,1052134,0.13,2.093,6.29,"December 06, 22",0.02093
2022-12-05,6.13,6.36,6.02,6.17,6.17,1456646,1456646,0.04,0.653,6.18333,"December 05, 22",0.00653
2022-12-02,5.72,6.245,5.7,6.16,6.16,1020432,1020432,0.44,7.692,6.035,"December 02, 22",0.07692
2022-12-01,5.96,6.12,5.705,5.85,5.85,1139530,1139530,-0.11,-1.846,5.89167,"December 01, 22",-0.01846
2022-11-30,5.7,5.97,5.49,5.96,5.96,2683865,2683865,0.26,4.561,5.80667,"November 30, 22",0.04561
2022-11-29,5.86,6.09,5.58,5.64,5.64,1343631,1343631,-0.22,-3.754,5.77,"November 29, 22",-0.03754
2022-11-28,6.36,6.36,5.77,5.84,5.84,1853811,1853811,-0.52,-8.176,5.99,"November 28, 22",-0.08176
2022-11-25,6.07,6.52,6.05,6.35,6.35,609946,609946,0.28,4.613,6.30667,"November 25, 22",0.04613
2022-11-23,6.38,6.58,6.11,6.12,6.12,1311972,1311972,-0.26,-4.075,6.27,"November 23, 22",-0.04075
