date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,0.4617,0.4696,0.4401,0.45,0.45,345353,345353,-0.0117,-2.534,0.45323,"December 23, 22",-0.02534
2022-12-22,0.4728,0.4799,0.455,0.4689,0.4689,1177171,1177171,-0.0039,-0.825,0.46793,"December 22, 22",-0.00825
2022-12-21,0.48,0.5066,0.4656,0.4774,0.4774,213768,213768,-0.0026,-0.542,0.4832,"December 21, 22",-0.00542
2022-12-20,0.47,0.5,0.47,0.4839,0.4839,192809,192809,0.0139,2.957,0.48463,"December 20, 22",0.02957
2022-12-19,0.5,0.5002,0.4651,0.4679,0.4679,287536,287536,-0.0321,-6.42,0.47773,"December 19, 22",-0.0642
2022-12-16,0.54,0.5495,0.4932,0.5,0.5,354142,354142,-0.04,-7.407,0.51423,"December 16, 22",-0.07407
2022-12-15,0.56,0.5794,0.54,0.5488,0.5488,89573,89573,-0.0112,-2,0.55607,"December 15, 22",-0.02
2022-12-14,0.56,0.585,0.554,0.57,0.57,262005,262005,0.01,1.786,0.56967,"December 14, 22",0.01786
2022-12-13,0.59,0.6,0.56,0.561,0.561,281019,281019,-0.029,-4.915,0.57367,"December 13, 22",-0.04915
2022-12-12,0.576,0.61,0.57,0.581,0.581,265220,265220,0.005,0.868,0.587,"December 12, 22",0.00868
2022-12-09,0.58,0.5972,0.5699,0.5801,0.5801,38215,38215,0.0001,0.017,0.5824,"December 09, 22",0.00017
2022-12-08,0.564,0.599,0.563,0.58,0.58,81506,81506,0.016,2.837,0.58067,"December 08, 22",0.02837
2022-12-07,0.569,0.604,0.565,0.566,0.566,251820,251820,-0.003,-0.527,0.57833,"December 07, 22",-0.00527
2022-12-06,0.6,0.6,0.58,0.58,0.58,129201,129201,-0.02,-3.333,0.58667,"December 06, 22",-0.03333
2022-12-05,0.612,0.62,0.582,0.6,0.6,108905,108905,-0.012,-1.961,0.60067,"December 05, 22",-0.01961
2022-12-02,0.5943,0.62,0.5817,0.6121,0.6121,76802,76802,0.0178,2.995,0.6046,"December 02, 22",0.02995
2022-12-01,0.57,0.6376,0.57,0.6101,0.6101,96763,96763,0.0401,7.035,0.6059,"December 01, 22",0.07035
2022-11-30,0.56,0.6199,0.5556,0.59,0.59,250121,250121,0.03,5.357,0.5885,"November 30, 22",0.05357
2022-11-29,0.602,0.638,0.58,0.58,0.58,62003,62003,-0.022,-3.654,0.59933,"November 29, 22",-0.03654
2022-11-28,0.649,0.649,0.6,0.6,0.6,77502,77502,-0.049,-7.55,0.61633,"November 28, 22",-0.0755
2022-11-25,0.63,0.655,0.611,0.655,0.655,36502,36502,0.025,3.968,0.64033,"November 25, 22",0.03968
2022-11-23,0.611,0.63,0.61,0.628,0.628,75903,75903,0.017,2.782,0.62267,"November 23, 22",0.02782
2022-11-22,0.616,0.63,0.601,0.63,0.63,136211,136211,0.014,2.273,0.62033,"November 22, 22",0.02273
2022-11-21,0.602,0.627,0.578,0.62,0.62,141703,141703,0.018,2.99,0.60833,"November 21, 22",0.0299
2022-11-18,0.61,0.635,0.595,0.6,0.6,118507,118507,-0.01,-1.639,0.61,"November 18, 22",-0.01639
2022-11-17,0.622,0.645,0.605,0.61,0.61,166803,166803,-0.012,-1.929,0.62,"November 17, 22",-0.01929
2022-11-16,0.645,0.667,0.62,0.64,0.64,237013,237013,-0.005,-0.775,0.64233,"November 16, 22",-0.00775
2022-11-15,0.68,0.7,0.6447,0.65,0.65,253182,253182,-0.03,-4.412,0.6649,"November 15, 22",-0.04412
2022-11-14,0.715,0.715,0.677,0.677,0.677,120708,120708,-0.038,-5.315,0.68967,"November 14, 22",-0.05315
2022-11-11,0.64,0.72,0.64,0.684,0.684,210407,210407,0.044,6.875,0.68133,"November 11, 22",0.06875
2022-11-10,0.641,0.68,0.625,0.657,0.657,189012,189012,0.016,2.496,0.654,"November 10, 22",0.02496
2022-11-09,0.73,0.73,0.621,0.621,0.621,247008,247008,-0.109,-14.932,0.65733,"November 09, 22",-0.14932
