date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,0.1101,0.1129,0.1055,0.11,0.11,2205805,2205805,-0.0001,-0.091,0.10947,"December 23, 22",-0.00091
2022-12-22,0.1103,0.1141,0.1035,0.1105,0.1105,4599955,4599955,0.0002,0.181,0.10937,"December 22, 22",0.00181
2022-12-21,0.1133,0.1133,0.1102,0.1114,0.1114,3200199,3200199,-0.0019,-1.677,0.11163,"December 21, 22",-0.01677
2022-12-20,0.113,0.113,0.11,0.11,0.11,3269343,3269343,-0.003,-2.655,0.111,"December 20, 22",-0.02655
2022-12-19,0.1167,0.1167,0.106,0.1126,0.1126,4856462,4856462,-0.0041,-3.513,0.11177,"December 19, 22",-0.03513
2022-12-16,0.113,0.115,0.103,0.103,0.103,6012654,6012654,-0.01,-8.85,0.107,"December 16, 22",-0.0885
2022-12-15,0.1275,0.1291,0.1126,0.1126,0.1126,5291372,5291372,-0.0149,-11.686,0.1181,"December 15, 22",-0.11686
2022-12-14,0.1228,0.1345,0.1219,0.1275,0.1275,3970992,3970992,0.0047,3.827,0.12797,"December 14, 22",0.03827
2022-12-13,0.1225,0.1267,0.115,0.12,0.12,4729355,4729355,-0.0025,-2.041,0.12057,"December 13, 22",-0.02041
2022-12-12,0.1222,0.1224,0.115,0.1152,0.1152,5164274,5164274,-0.007,-5.728,0.11753,"December 12, 22",-0.05728
2022-12-09,0.11,0.14,0.11,0.12,0.12,4636065,4636065,0.01,9.091,0.12333,"December 09, 22",0.09091
2022-12-08,0.12,0.1204,0.1111,0.1126,0.1126,4162420,4162420,-0.0074,-6.167,0.1147,"December 08, 22",-0.06167
2022-12-07,0.1257,0.1279,0.11,0.1128,0.1128,6661121,6661121,-0.0129,-10.263,0.1169,"December 07, 22",-0.10263
2022-12-06,0.134,0.134,0.122,0.1229,0.1229,5431973,5431973,-0.0111,-8.284,0.1263,"December 06, 22",-0.08284
2022-12-05,0.135,0.14,0.1301,0.1301,0.1301,2897307,2897307,-0.0049,-3.63,0.1334,"December 05, 22",-0.0363
2022-12-02,0.1374,0.14,0.1338,0.1393,0.1393,3130372,3130372,0.0019,1.383,0.1377,"December 02, 22",0.01383
2022-12-01,0.1314,0.1448,0.1312,0.1393,0.1393,5302929,5302929,0.0079,6.012,0.13843,"December 01, 22",0.06012
2022-11-30,0.1397,0.14,0.1311,0.1322,0.1322,5037839,5037839,-0.0075,-5.369,0.13443,"November 30, 22",-0.05369
2022-11-29,0.13,0.14,0.13,0.14,0.14,4359427,4359427,0.01,7.692,0.13667,"November 29, 22",0.07692
2022-11-28,0.1436,0.1442,0.1312,0.135,0.135,3795303,3795303,-0.0086,-5.989,0.1368,"November 28, 22",-0.05989
