date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,2.52,2.59,2.49,2.51,2.51,5007529,5007529,-0.01,-0.397,2.53,"December 23, 22",-0.00397
2022-12-22,2.52,2.56,2.4,2.54,2.54,8009860,8009860,0.02,0.794,2.5,"December 22, 22",0.00794
2022-12-21,2.47,2.54,2.42,2.5,2.5,8461769,8461769,0.03,1.215,2.48667,"December 21, 22",0.01215
2022-12-20,2.27,2.62,2.25,2.47,2.47,18113347,18113347,0.2,8.811,2.44667,"December 20, 22",0.08811
2022-12-19,2.54,2.57,2.34,2.37,2.37,6941059,6941059,-0.17,-6.693,2.42667,"December 19, 22",-0.06693
2022-12-16,2.5,2.615,2.45,2.51,2.51,8314348,8314348,0.01,0.4,2.525,"December 16, 22",0.004
2022-12-15,2.56,2.7027,2.4,2.45,2.45,8978241,8978241,-0.11,-4.297,2.51757,"December 15, 22",-0.04297
2022-12-14,2.64,2.67,2.45,2.65,2.65,10418094,10418094,0.01,0.379,2.59,"December 14, 22",0.00379
2022-12-13,2.76,2.78,2.55,2.65,2.65,11539717,11539717,-0.11,-3.986,2.66,"December 13, 22",-0.03986
2022-12-12,2.6,2.75,2.55,2.65,2.65,10944753,10944753,0.05,1.923,2.65,"December 12, 22",0.01923
2022-12-09,2.9,2.94,2.71,2.74,2.74,13126284,13126284,-0.16,-5.517,2.79667,"December 09, 22",-0.05517
2022-12-08,2.71,2.87,2.61,2.86,2.86,27928686,27928686,0.15,5.535,2.78,"December 08, 22",0.05535
2022-12-07,2.44,2.65,2.33,2.54,2.54,16974242,16974242,0.1,4.098,2.50667,"December 07, 22",0.04098
2022-12-06,2.51,2.77,2.51,2.59,2.59,24220263,24220263,0.08,3.187,2.62333,"December 06, 22",0.03187
2022-12-05,2.85,3.06,2.47,2.57,2.57,37177191,37177191,-0.28,-9.825,2.7,"December 05, 22",-0.09825
2022-12-02,2.24,2.635,2.24,2.61,2.61,29452019,29452019,0.37,16.518,2.495,"December 02, 22",0.16518
2022-12-01,2.2,2.39,2.14,2.28,2.28,20203210,20203210,0.08,3.636,2.27,"December 01, 22",0.03636
2022-11-30,2.28,2.43,2.12,2.3,2.3,78158404,78158404,0.02,0.877,2.28333,"November 30, 22",0.00877
2022-11-29,2.04,2.28,2.005,2.18,2.18,31709102,31709102,0.14,6.863,2.155,"November 29, 22",0.06863
2022-11-28,1.96,2.14,1.93,1.94,1.94,18298293,18298293,-0.02,-1.02,2.00333,"November 28, 22",-0.0102
2022-11-25,1.95,2.09,1.82,1.88,1.88,21254064,21254064,-0.07,-3.59,1.93,"November 25, 22",-0.0359
2022-11-23,1.73,2.06,1.73,1.99,1.99,30549639,30549639,0.26,15.029,1.92667,"November 23, 22",0.15029
2022-11-22,1.71,1.77,1.75,1.76,1.76,350920,350920,0.05,2.924,1.76,"November 22, 22",0.02924
2022-11-21,1.72,1.88,1.69,1.76,1.76,13882036,13882036,0.04,2.326,1.77667,"November 21, 22",0.02326
2022-11-18,1.67,1.8,1.64,1.76,1.76,27637617,27637617,0.09,5.389,1.73333,"November 18, 22",0.05389
2022-11-17,1.45,1.77,1.45,1.73,1.73,30723104,30723104,0.28,19.31,1.65,"November 17, 22",0.1931
2022-11-16,1.6,1.61,1.44,1.44,1.44,16946905,16946905,-0.16,-10,1.49667,"November 16, 22",-0.1
2022-11-15,1.68,1.68,1.5,1.6,1.6,24433108,24433108,-0.08,-4.762,1.59333,"November 15, 22",-0.04762
2022-11-14,1.5,1.61,1.49,1.58,1.58,10876214,10876214,0.08,5.333,1.56,"November 14, 22",0.05333
2022-11-11,1.5,1.55,1.45,1.48,1.48,15821452,15821452,-0.02,-1.333,1.49333,"November 11, 22",-0.01333
2022-11-10,1.46,1.465,1.37,1.44,1.44,7180013,7180013,-0.02,-1.37,1.425,"November 10, 22",-0.0137
2022-11-09,1.43,1.4599,1.325,1.34,1.34,8076158,8076158,-0.09,-6.294,1.37497,"November 09, 22",-0.06294
2022-11-08,1.53,1.53,1.42,1.5,1.5,7369665,7369665,-0.03,-1.961,1.48333,"November 08, 22",-0.01961
2022-11-07,1.58,1.6,1.53,1.57,1.57,10312699,10312699,-0.01,-0.633,1.56667,"November 07, 22",-0.00633
2022-11-04,1.8,1.8,1.47,1.52,1.52,27739527,27739527,-0.28,-15.556,1.59667,"November 04, 22",-0.15556
2022-11-03,1.46,1.67,1.43,1.67,1.67,18052968,18052968,0.21,14.384,1.59,"November 03, 22",0.14384
2022-11-02,1.48,1.6,1.42,1.53,1.53,21846838,21846838,0.05,3.378,1.51667,"November 02, 22",0.03378
2022-11-01,1.44,1.44,1.34,1.37,1.37,10990547,10990547,-0.07,-4.861,1.38333,"November 01, 22",-0.04861
2022-10-31,1.35,1.41,1.25,1.25,1.25,5789421,5789421,-0.1,-7.407,1.30333,"October 31, 22",-0.07407
2022-10-28,1.38,1.38,1.3,1.35,1.35,12287020,12287020,-0.03,-2.174,1.34333,"October 28, 22",-0.02174
2022-10-27,1.46,1.6,1.35,1.48,1.48,24780934,24780934,0.02,1.37,1.47667,"October 27, 22",0.0137
2022-10-26,1.16,1.81,1.1,1.63,1.63,68171412,68171412,0.47,40.517,1.51333,"October 26, 22",0.40517
2022-10-25,1.135,1.15,1.015,1.14,1.14,15271433,15271433,0.005,0.441,1.10167,"October 25, 22",0.00441
2022-10-24,0.975,1.02,0.9012,1,1,16535448,16535448,0.025,2.564,0.97373,"October 24, 22",0.02564
2022-10-21,1,1.03,1,1.01,1.01,2444711,2444711,0.01,1,1.01333,"October 21, 22",0.01
2022-10-20,1.05,1.085,1,1,1,6338863,6338863,-0.05,-4.762,1.02833,"October 20, 22",-0.04762
2022-10-19,1.13,1.17,1.055,1.06,1.06,4470085,4470085,-0.07,-6.195,1.095,"October 19, 22",-0.06195
2022-10-18,1.16,1.21,1.13,1.16,1.16,7038487,7038487,0,0,1.16667,"October 18, 22",0
2022-10-17,1.08,1.16,1.07,1.09,1.09,5612101,5612101,0.01,0.926,1.10667,"October 17, 22",0.00926
2022-10-14,1.1,1.11,1.03,1.03,1.03,5155120,5155120,-0.07,-6.364,1.05667,"October 14, 22",-0.06364
2022-10-13,1.06,1.18,1.04,1.09,1.09,8926054,8926054,0.03,2.83,1.10333,"October 13, 22",0.0283
2022-10-12,1.05,1.18,1.03,1.12,1.12,16291833,16291833,0.07,6.667,1.11,"October 12, 22",0.06667
2022-10-11,0.99,1.03,0.985,1,1,5905342,5905342,0.01,1.01,1.005,"October 11, 22",0.0101
2022-10-10,0.93,1.01,0.92,0.9742,0.9742,5906606,5906606,0.0442,4.753,0.96807,"October 10, 22",0.04753
2022-10-07,1.02,1.02,0.9301,0.9439,0.9439,9556376,9556376,-0.0761,-7.461,0.96467,"October 07, 22",-0.07461
2022-10-06,1.01,1.05,1,1.03,1.03,4052128,4052128,0.02,1.98,1.02667,"October 06, 22",0.0198
