date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-12-23,13.96,13.96,13.8,13.8,13.8,904,904,-0.16,-1.146,13.85333,"December 23, 22",-0.01146
2022-12-22,14.2,14.2,13.8,13.8,13.8,1611,1611,-0.4,-2.817,13.93333,"December 22, 22",-0.02817
2022-12-21,14,14.05,14,14,14,579,579,0,0,14.01667,"December 21, 22",0
2022-12-20,13.95,13.97,13.95,13.95,13.95,303,303,0,0,13.95667,"December 20, 22",0
2022-12-19,14.23,14.23,14,14,14,401,401,-0.23,-1.616,14.07667,"December 19, 22",-0.01616
2022-12-16,14.25,14.4,14.25,14.3,14.3,1323,1323,0.05,0.351,14.31667,"December 16, 22",0.00351
2022-12-15,14,14,14,14,14,1117,1117,0,0,14,"December 15, 22",0
2022-12-14,14.13,14.28,14.12,14.12,14.12,803,803,-0.01,-0.071,14.17333,"December 14, 22",-0.00071
2022-12-13,13.91,14,13.91,14,14,806,806,0.09,0.647,13.97,"December 13, 22",0.00647
2022-12-12,14.2,14.3,14,14,14,1214,1214,-0.2,-1.408,14.1,"December 12, 22",-0.01408
2022-12-08,14.17,14.17,14.03,14.05,14.05,900,900,-0.12,-0.847,14.08333,"December 08, 22",-0.00847
2022-12-07,14.25,14.25,14.08,14.08,14.08,403,403,-0.17,-1.193,14.13667,"December 07, 22",-0.01193
2022-12-06,14.3,14.45,14.3,14.45,14.45,3816,3816,0.15,1.049,14.4,"December 06, 22",0.01049
2022-12-05,14.25,14.25,14.25,14.25,14.25,112,112,0,0,14.25,"December 05, 22",0
2022-12-02,14.27,14.28,14.2,14.2,14.2,1101,1101,-0.07,-0.491,14.22667,"December 02, 22",-0.00491
2022-12-01,14.23,14.28,14.23,14.28,14.28,244,244,0.05,0.351,14.26333,"December 01, 22",0.00351
2022-11-30,14,14.05,14,14.05,14.05,228,228,0.05,0.357,14.03333,"November 30, 22",0.00357
2022-11-29,14,14.01,14,14,14,1300,1300,0,0,14.00333,"November 29, 22",0
2022-11-28,13.98,14.15,13.98,14.15,14.15,308,308,0.17,1.216,14.09333,"November 28, 22",0.01216
2022-11-25,13.9499998,14.04,13.8400002,14,14,2600,2600,0.05,0.358,13.96,"November 25, 22",0.00358
2022-11-24,13.7200003,13.9899998,13.7200003,13.9899998,13.9899998,400,400,0.27,1.968,13.9,"November 24, 22",0.01968
2022-11-23,13.54,14,13.54,13.7600002,13.7600002,4300,4300,0.22,1.625,13.76667,"November 23, 22",0.01625
2022-11-22,13.6800003,14,13.6800003,13.96,13.8100004,2800,2800,0.13,0.95,13.83,"November 22, 22",0.0095
2022-11-21,13.4700003,13.6000004,13.4700003,13.6000004,13.4538689,800,800,-0.01613,-0.12,13.50796,"November 21, 22",-0.0012
2022-11-18,13.3999996,13.4799995,13.3500004,13.3800001,13.2362318,1400,1400,-0.16377,-1.222,13.35541,"November 18, 22",-0.01222
2022-11-17,13.4300003,13.4300003,13.3999996,13.3999996,13.2560167,800,800,-0.17398,-1.295,13.36201,"November 17, 22",-0.01295
2022-11-16,13.3500004,13.3500004,13.3500004,13.3500004,13.2065544,100,100,-0.14345,-1.075,13.30219,"November 16, 22",-0.01075
2022-11-15,13.3000002,13.3999996,13.3000002,13.3599997,13.2164469,1000,1000,-0.08355,-0.628,13.30548,"November 15, 22",-0.00628
2022-11-14,13.5100002,13.5100002,13.3500004,13.3599997,13.2164469,4600,4600,-0.29355,-2.173,13.35882,"November 14, 22",-0.02173
2022-11-11,13.46,13.4700003,13.3999996,13.4499998,13.30548,2500,2500,-0.15452,-1.148,13.39183,"November 11, 22",-0.01148
2022-11-10,13.3500004,13.5900002,13.3000002,13.4899998,13.3450499,15100,15100,-0.00495,-0.037,13.41168,"November 10, 22",-0.00037
2022-11-09,13.1499996,13.1499996,13.1000004,13.1000004,12.9592409,3800,3800,-0.19076,-1.451,13.06975,"November 09, 22",-0.01451
2022-11-08,13.1999998,13.2299995,13.1599998,13.1599998,13.0185957,3400,3400,-0.1814,-1.374,13.1362,"November 08, 22",-0.01374
2022-11-07,13.2299995,13.3500004,13.1499996,13.3500004,13.2065544,1500,1500,-0.02345,-0.177,13.23552,"November 07, 22",-0.00177
2022-11-04,13.3000002,13.3000002,13.1300001,13.1400003,12.9988108,2100,2100,-0.30119,-2.265,13.14294,"November 04, 22",-0.02265
2022-11-03,13.4899998,13.4899998,13.1899996,13.1899996,13.0482731,900,900,-0.44173,-3.274,13.24276,"November 03, 22",-0.03274
2022-11-02,13.6099997,13.6099997,13.4899998,13.4899998,13.3450499,2300,2300,-0.26495,-1.947,13.48168,"November 02, 22",-0.01947
2022-11-01,13.6000004,13.6000004,13.5100002,13.5100002,13.3648357,1200,1200,-0.23516,-1.729,13.49161,"November 01, 22",-0.01729
2022-10-31,13.5299997,13.6300001,13.5200005,13.5200005,13.3747282,800,800,-0.15527,-1.148,13.50824,"October 31, 22",-0.01148
2022-10-28,13.5,13.5,13.4300003,13.4399996,13.2955866,400,400,-0.20441,-1.514,13.40853,"October 28, 22",-0.01514
2022-10-27,13.29,13.5,13.1700001,13.4499998,13.30548,1600,1600,0.01548,0.116,13.32516,"October 27, 22",0.00116
2022-10-26,13.4200001,13.4200001,13.3900003,13.3900003,13.2461252,200,200,-0.17387,-1.296,13.35204,"October 26, 22",-0.01296
2022-10-25,13.5100002,13.5100002,13.5100002,13.5100002,13.3648357,200,200,-0.14516,-1.074,13.46161,"October 25, 22",-0.01074
2022-10-24,13.2399998,13.4499998,13.2399998,13.4499998,13.30548,500,500,0.06548,0.495,13.33183,"October 24, 22",0.00495
2022-10-21,13.5,13.5,13.1400003,13.1499996,13.0087032,4300,4300,-0.4913,-3.639,13.21623,"October 21, 22",-0.03639
2022-10-20,13.79,13.79,13.5900002,13.5900002,13.4439754,1200,1200,-0.34602,-2.509,13.60799,"October 20, 22",-0.02509
2022-10-19,13.5,13.5699997,13.5,13.5100002,13.3648357,1200,1200,-0.13516,-1.001,13.47828,"October 19, 22",-0.01001
2022-10-18,13.4399996,13.75,13.4399996,13.5,13.3549423,7100,7100,-0.08506,-0.633,13.51498,"October 18, 22",-0.00633
2022-10-17,13,13.46,12.8299999,13.4200001,13.2758026,11200,11200,0.2758,2.122,13.1886,"October 17, 22",0.02122
2022-10-14,12.9399996,12.9399996,12.9399996,12.9399996,12.8009596,400,400,-0.13904,-1.074,12.89365,"October 14, 22",-0.01074
2022-10-13,13,13,12.8800001,12.9499998,12.8108521,4200,4200,-0.18915,-1.455,12.89695,"October 13, 22",-0.01455
2022-10-12,12.7600002,12.8299999,12.7600002,12.8299999,12.6921415,400,400,-0.06786,-0.532,12.76071,"October 12, 22",-0.00532
2022-10-11,12.6999998,12.8699999,12.5500002,12.6899996,12.5536461,6500,6500,-0.14635,-1.152,12.65788,"October 11, 22",-0.01152
2022-10-07,12.9300003,12.9300003,12.9300003,12.9300003,12.7910671,,,-0.13893,-1.074,,"October 07, 22",-0.01074
2022-10-06,12.8699999,12.9300003,12.8699999,12.9300003,12.7910671,300,300,-0.07893,-0.613,12.86369,"October 06, 22",-0.00613
2022-10-05,12.5900002,12.6700001,12.5500002,12.5600004,12.4250431,1300,1300,-0.16496,-1.31,12.54835,"October 05, 22",-0.0131
2022-10-04,12.46,12.5299997,12.46,12.5200005,12.3854733,1400,1400,-0.07453,-0.598,12.45849,"October 04, 22",-0.00598
2022-10-03,12.5,12.5699997,12.5,12.5200005,12.3854733,1500,1500,-0.11453,-0.916,12.48516,"October 03, 22",-0.00916
2022-09-30,12.5299997,12.5299997,12.4499998,12.4499998,12.3162251,5300,5300,-0.21377,-1.706,12.43207,"September 30, 22",-0.01706
2022-09-29,12.6599998,12.6700001,12.5299997,12.5299997,12.3953648,3400,3400,-0.26464,-2.09,12.53179,"September 29, 22",-0.0209
2022-09-28,12.6000004,12.6000004,12.6000004,12.6000004,12.4646139,300,300,-0.13539,-1.075,12.55487,"September 28, 22",-0.01075
2022-09-27,12.46,12.5649996,12.46,12.5649996,12.4299889,1100,1100,-0.03001,-0.241,12.485,"September 27, 22",-0.00241
2022-09-26,12.6700001,12.6800003,12.46,12.4799995,12.3459024,2300,2300,-0.3241,-2.558,12.4953,"September 26, 22",-0.02558
2022-09-23,12.6800003,12.6800003,12.5100002,12.5200005,12.3854733,5100,5100,-0.29453,-2.323,12.52516,"September 23, 22",-0.02323
2022-09-22,12.6800003,12.71,12.6800003,12.6800003,12.5437536,1700,1700,-0.13625,-1.075,12.64458,"September 22, 22",-0.01075
2022-09-21,12.6800003,12.6800003,12.6800003,12.6800003,12.5437536,500,500,-0.13625,-1.075,12.63458,"September 21, 22",-0.01075
2022-09-20,12.6800003,12.7200003,12.6800003,12.7200003,12.5833244,1300,1300,-0.09668,-0.762,12.66111,"September 20, 22",-0.00762
2022-09-19,12.6800003,12.6800003,12.6800003,12.6800003,12.5437536,700,700,-0.13625,-1.075,12.63458,"September 19, 22",-0.01075
2022-09-16,12.6899996,12.7299995,12.6899996,12.7299995,12.5932159,3000,3000,-0.09678,-0.763,12.67107,"September 16, 22",-0.00763
2022-09-15,12.6800003,12.6899996,12.6800003,12.6899996,12.5536461,200,200,-0.12635,-0.996,12.64122,"September 15, 22",-0.00996
2022-09-14,12.5500002,12.5600004,12.5500002,12.5600004,12.4250431,1600,1600,-0.12496,-0.996,12.51168,"September 14, 22",-0.00996
2022-09-13,12.7600002,12.7600002,12.46,12.46,12.3261175,8500,8500,-0.43388,-3.4,12.51537,"September 13, 22",-0.034
2022-09-12,12.7600002,12.8400002,12.7600002,12.8400002,12.702035,2200,2200,-0.05797,-0.454,12.76735,"September 12, 22",-0.00454
2022-09-09,12.8800001,12.8800001,12.7600002,12.7600002,12.6228943,2600,2600,-0.25711,-1.996,12.7543,"September 09, 22",-0.01996
2022-09-08,12.7600002,12.79,12.75,12.7600002,12.6228943,4500,4500,-0.13711,-1.075,12.72096,"September 08, 22",-0.01075
2022-09-07,12.7600002,12.8000002,12.7600002,12.7600002,12.6228943,1000,1000,-0.13711,-1.075,12.72763,"September 07, 22",-0.01075
2022-09-06,12.7600002,13,12.75,12.8599997,12.7218189,3300,3300,-0.03818,-0.299,12.82394,"September 06, 22",-0.00299
2022-09-02,12.6499996,12.8599997,12.6499996,12.8599997,12.7218189,5500,5500,0.07182,0.568,12.74394,"September 02, 22",0.00568
2022-09-01,12.6499996,12.6499996,12.6499996,12.6499996,12.5140753,3700,3700,-0.13592,-1.074,12.60469,"September 01, 22",-0.01074
2022-08-31,12.75,12.7600002,12.6499996,12.6999998,12.5635386,2200,2200,-0.18646,-1.462,12.65785,"August 31, 22",-0.01462
2022-08-30,12.75,12.8199997,12.75,12.79,12.6525717,1600,1600,-0.09743,-0.764,12.74086,"August 30, 22",-0.00764
2022-08-29,12.6400003,12.8500004,12.6400003,12.8500004,12.7119274,3100,3100,0.07193,0.569,12.73398,"August 29, 22",0.00569
2022-08-26,12.5799999,12.7600002,12.5500002,12.6999998,12.5635386,13500,13500,-0.01646,-0.131,12.62451,"August 26, 22",-0.00131
2022-08-25,12.5699997,12.7200003,12.5500002,12.7200003,12.5833244,1300,1300,0.01332,0.106,12.61777,"August 25, 22",0.00106
2022-08-24,12.5699997,12.6800003,12.5500002,12.6499996,12.5140753,5000,5000,-0.05592,-0.445,12.58136,"August 24, 22",-0.00445
2022-08-23,12.5500002,12.6499996,12.5500002,12.6499996,12.3656874,1300,1300,-0.18431,-1.469,12.5219,"August 23, 22",-0.01469
2022-08-22,12.8599997,12.8599997,12.6099997,12.6499996,12.3656874,1600,1600,-0.49431,-3.844,12.6119,"August 22, 22",-0.03844
2022-08-19,12.6599998,12.6999998,12.6199999,12.6999998,12.4145641,1000,1000,-0.24544,-1.939,12.57819,"August 19, 22",-0.01939
2022-08-18,12.8000002,12.8000002,12.8000002,12.8000002,12.5123167,4300,4300,-0.28768,-2.247,12.70411,"August 18, 22",-0.02247
2022-08-17,12.7200003,12.7799997,12.7200003,12.7600002,12.4732161,400,400,-0.24678,-1.94,12.65774,"August 17, 22",-0.0194
2022-08-16,12.6000004,12.6599998,12.6000004,12.6599998,12.3754635,1600,1600,-0.22454,-1.782,12.54515,"August 16, 22",-0.01782
2022-08-15,12.6300001,12.7799997,12.6300001,12.6499996,12.3656874,300,300,-0.26431,-2.093,12.5919,"August 15, 22",-0.02093
2022-08-12,12.6000004,12.9499998,12.6000004,12.9499998,12.6589451,1700,1700,0.05894,0.468,12.73632,"August 12, 22",0.00468
2022-08-11,12.7200003,12.7200003,12.4799995,12.6099997,12.3265867,1300,1300,-0.39341,-3.093,12.50886,"August 11, 22",-0.03093
2022-08-10,12.7200003,12.7200003,12.5900002,12.6300001,12.346138,400,400,-0.37386,-2.939,12.55205,"August 10, 22",-0.02939
2022-08-09,12.96,12.96,12.6700001,12.71,12.4243393,6500,6500,-0.53566,-4.133,12.68478,"August 09, 22",-0.04133
2022-08-08,12.6400003,12.9899998,12.6400003,12.9499998,12.6589451,9400,9400,0.01894,0.15,12.76298,"August 08, 22",0.0015
2022-08-05,12.6000004,12.7299995,12.4300003,12.46,12.1799583,6600,6600,-0.42004,-3.334,12.44665,"August 05, 22",-0.03334
2022-08-04,12.6499996,12.6899996,12.6499996,12.6499996,12.3656874,1700,1700,-0.28431,-2.248,12.56856,"August 04, 22",-0.02248
2022-08-03,12.6099997,12.6099997,12.6000004,12.6000004,12.3168125,2300,2300,-0.29319,-2.325,12.50894,"August 03, 22",-0.02325
2022-08-02,12.5600004,12.5600004,12.5500002,12.5500002,12.2679358,300,300,-0.29206,-2.325,12.45931,"August 02, 22",-0.02325
2022-07-29,12.5200005,12.6000004,12.4899998,12.6000004,12.3168125,3500,3500,-0.20319,-1.623,12.46894,"July 29, 22",-0.01623
2022-07-28,12.5799999,12.5799999,12.54,12.54,12.2581606,1600,1600,-0.32184,-2.558,12.45939,"July 28, 22",-0.02558
2022-07-27,12.5200005,12.5200005,12.5200005,12.5200005,12.2386103,200,200,-0.28139,-2.248,12.4262,"July 27, 22",-0.02248
2022-07-26,12.5500002,12.5500002,12.4899998,12.5,12.219059,2700,2700,-0.33094,-2.637,12.41969,"July 26, 22",-0.02637
2022-07-25,12.6099997,12.6099997,12.5500002,12.5500002,12.2679358,1900,1900,-0.34206,-2.713,12.47598,"July 25, 22",-0.02713
2022-07-22,12.6700001,12.75,12.5699997,12.5699997,12.2874861,500,500,-0.38251,-3.019,12.53583,"July 22, 22",-0.03019
2022-07-21,12.6000004,12.6199999,12.5500002,12.5500002,12.2679358,500,500,-0.33206,-2.635,12.47931,"July 21, 22",-0.02635
2022-07-20,12.5600004,12.6000004,12.5600004,12.6000004,12.3168125,200,200,-0.24319,-1.936,12.49227,"July 20, 22",-0.01936
2022-07-19,12.5900002,12.665,12.5900002,12.5900002,12.3070364,700,700,-0.28296,-2.247,12.52068,"July 19, 22",-0.02247
2022-07-18,12.7700005,12.7700005,12.7399998,12.7399998,12.4536648,200,200,-0.31634,-2.477,12.65456,"July 18, 22",-0.02477
2022-07-15,12.6300001,12.8400002,12.6300001,12.8400002,12.5514183,600,600,-0.07858,-0.622,12.67381,"July 15, 22",-0.00622
2022-07-14,12.6999998,12.6999998,12.6999998,12.6999998,12.4145641,100,100,-0.28544,-2.248,12.60485,"July 14, 22",-0.02248
2022-07-13,12.7600002,12.9399996,12.7600002,12.9399996,12.6491699,800,800,-0.11083,-0.869,12.78306,"July 13, 22",-0.00869
2022-07-12,12.6999998,12.7600002,12.6999998,12.7600002,12.4732161,1000,1000,-0.22678,-1.786,12.64441,"July 12, 22",-0.01786
2022-07-11,12.9099998,13,12.6999998,12.6999998,12.4145641,12800,12800,-0.49544,-3.838,12.70485,"July 11, 22",-0.03838
2022-07-08,13.0600004,13.0600004,12.8500004,12.8999996,12.6100693,2500,2500,-0.44993,-3.445,12.84002,"July 08, 22",-0.03445
2022-07-07,13.1000004,13.1000004,13.0699997,13.0699997,12.776248,300,300,-0.32375,-2.471,12.98208,"July 07, 22",-0.02471
2022-07-06,13.4200001,13.4200001,13.4200001,13.4200001,13.1183825,300,300,-0.30162,-2.248,13.31946,"July 06, 22",-0.02248
2022-07-05,13.3000002,13.6000004,13.3000002,13.4899998,13.1868086,1000,1000,-0.11319,-0.851,13.36227,"July 05, 22",-0.00851
2022-07-04,13.6499996,14.0500002,13.6499996,13.8000002,13.4898415,1000,1000,-0.16016,-1.173,13.72995,"July 04, 22",-0.01173
2022-06-30,13.3199997,13.6499996,13.25,13.6499996,13.3432121,1700,1700,0.02321,0.174,13.4144,"June 30, 22",0.00174
2022-06-29,13.4099998,13.4200001,13.4099998,13.4200001,13.1183825,700,700,-0.29162,-2.175,13.31613,"June 29, 22",-0.02175
2022-06-28,13.6099997,13.6099997,13.4300003,13.4300003,13.1281576,500,500,-0.48184,-3.54,13.38939,"June 28, 22",-0.0354
2022-06-27,13.1000004,13.4399996,13.1000004,13.2600002,12.961978,2000,2000,-0.13802,-1.054,13.16733,"June 27, 22",-0.01054
2022-06-24,13.2200003,13.2200003,13.2200003,13.2200003,12.9228773,200,200,-0.29712,-2.248,13.12096,"June 24, 22",-0.02248
2022-06-23,13.0799999,13.1899996,13.0799999,13.1899996,12.8935509,1200,1200,-0.18645,-1.425,13.05452,"June 23, 22",-0.01425
2022-06-22,12.8599997,13.1300001,12.8599997,13.1300001,12.8348999,1800,1800,-0.0251,-0.195,12.94163,"June 22, 22",-0.00195
2022-06-21,12.8699999,13.5900002,12.8699999,13.5900002,13.2845612,500,500,0.41456,3.221,13.24819,"June 21, 22",0.03221
2022-06-20,12.8400002,13.2299995,12.8400002,13.1700001,12.8740005,1400,1400,0.034,0.265,12.98133,"June 20, 22",0.00265
2022-06-17,13,13.04,12.6999998,12.8100004,12.5220928,5000,5000,-0.47791,-3.676,12.75403,"June 17, 22",-0.03676
2022-06-16,13.3500004,13.3500004,12.79,12.79,12.5025415,5900,5900,-0.84746,-6.348,12.88085,"June 16, 22",-0.06348
2022-06-15,14.1099997,14.1099997,13.2299995,13.3100004,13.0108547,3000,3000,-1.09914,-7.79,13.45028,"June 15, 22",-0.0779
2022-06-14,13.6999998,13.6999998,13.6999998,13.6999998,13.3920889,,,-0.30791,-2.248,,"June 14, 22",-0.02248
2022-06-13,13.5600004,13.8500004,13.5600004,13.6999998,13.3920889,7500,7500,-0.16791,-1.238,13.6007,"June 13, 22",-0.01238
2022-06-10,14.04,14.04,13.9799995,13.9949999,13.6804581,2500,2500,-0.35954,-2.561,13.90015,"June 10, 22",-0.02561
2022-06-09,14.0299997,14.0600004,14,14,13.6853466,1700,1700,-0.34465,-2.457,13.91512,"June 09, 22",-0.02457
2022-06-08,13.9899998,14.3000002,13.9899998,14.1800003,13.8613014,5800,5800,-0.1287,-0.92,14.05043,"June 08, 22",-0.0092
2022-06-07,14.04,14.0699997,13.96,14.0450001,13.7293348,1900,1900,-0.31067,-2.213,13.91978,"June 07, 22",-0.02213
2022-06-06,14.4399996,14.4399996,14.04,14.1199999,13.8026495,1200,1200,-0.63735,-4.414,14.09422,"June 06, 22",-0.04414
2022-06-03,14.5900002,14.5900002,14.46,14.46,14.1350079,1100,1100,-0.45499,-3.119,14.395,"June 03, 22",-0.03119
2022-06-02,14.1999998,14.3100004,14.1199999,14.3100004,13.9883795,3300,3300,-0.21162,-1.49,14.13946,"June 02, 22",-0.0149
2022-06-01,14,14.1999998,14,14.1999998,13.8808508,3100,3100,-0.11915,-0.851,14.02695,"June 01, 22",-0.00851
2022-05-31,14.0100002,14.0500002,13.6000004,14.0500002,13.7342234,9400,9400,-0.27578,-1.968,13.79474,"May 31, 22",-0.01968
2022-05-30,14.2700005,14.2700005,14.1599998,14.1999998,13.8808508,1300,1300,-0.38915,-2.727,14.10362,"May 30, 22",-0.02727
2022-05-27,14.4399996,14.6499996,14.4399996,14.4399996,14.1154566,6600,6600,-0.32454,-2.248,14.40182,"May 27, 22",-0.02248
2022-05-26,14.4799995,14.4799995,14.4399996,14.4399996,14.1154566,388700,388700,-0.36454,-2.518,14.34515,"May 26, 22",-0.02518
2022-05-25,13.7600002,14.4099998,13.7600002,14.4099998,13.9395027,6200,6200,0.1795,1.305,14.0365,"May 25, 22",0.01305
2022-05-24,14.0500002,14.0600004,13.7700005,13.9700003,13.5138702,4700,4700,-0.53613,-3.816,13.78129,"May 24, 22",-0.03816
2022-05-20,13.9799995,14.0500002,13.8500004,14.0500002,13.591258,7500,7500,-0.38874,-2.781,13.83042,"May 20, 22",-0.02781
2022-05-19,13.8599997,13.9700003,13.8599997,13.9700003,13.5138702,600,600,-0.34613,-2.497,13.78129,"May 19, 22",-0.02497
